,MANDT,MBLNR,MJAHR,VGART,BLART,BLAUM,BLDAT,BUDAT,CPUDT,CPUTM,AEDAT,USNAM,TCODE,XBLNR,BKTXT,FRATH,FRBNR,WEVER,XABLN,AWSYS,BLA2D,TCODE2,BFWMS,EXNUM,SPE_BUDAT_UHR,SPE_BUDAT_ZONE,LE_VBELN,SPE_LOGSYS,SPE_MDNUM_EWM,GTS_CUSREF_NO,KNUMV
35,400,4900133539,2021,WR,WA,PR,20210220,20210220,20210220,81329,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
36,400,4900133540,2021,WR,WA,PR,20210220,20210220,20210220,81330,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
37,400,4900133542,2021,WR,WA,PR,20210220,20210220,20210220,81348,0,USRJOB, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
38,400,4900133543,2021,WR,WA,PR,20210220,20210220,20210220,81349,0,USRJOB, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
39,400,4900133544,2021,WR,WA,PR,20210220,20210220,20210220,81351,0,USRJOB, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
40,400,4900133545,2021,WR,WA,PR,20210220,20210220,20210220,81352,0,USRJOB, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
41,400,4900133541,2021,WA,WA,PR,20210220,20210220,20210220,81342,0,ALMACENMP6, , , ,0, ,2, ,CRPCLNT400, ,MB1B, , ,0, , , , , , 
42,400,4900133547,2021,WR,WA,PR,20210220,20210220,20210220,81401,0,USRJOB, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
43,400,4900133548,2021,WR,WA,PR,20210220,20210220,20210220,81403,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
44,400,4900133549,2021,WR,WA,PR,20210220,20210220,20210220,81403,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
45,400,4900133550,2021,WR,WA,PR,20210220,20210220,20210220,81403,0,USRJOB, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
46,400,4900133546,2021,WA,WA,PR,20210220,20210220,20210220,81402,0,DESPACHO4, , , ,0, ,2, ,CRPCLNT400, ,MB1B, , ,0, , , , , , 
47,400,4900133551,2021,WR,WA,PR,20210220,20210220,20210220,81443,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
48,400,4900133552,2021,WR,WA,PR,20210220,20210220,20210220,81443,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
49,400,4900133553,2021,WR,WA,PR,20210220,20210220,20210220,81450,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
50,400,4900132902,2021,WR,WA,PR,20210220,20210220,20210220,1226,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
51,400,4900132903,2021,WR,WA,PR,20210220,20210220,20210220,1351,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
52,400,4900132904,2021,WR,WA,PR,20210220,20210220,20210220,1420,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
53,400,4900132905,2021,WR,WA,PR,20210220,20210220,20210220,1421,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
54,400,4900132906,2021,WR,WA,PR,20210220,20210220,20210220,2847,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
55,400,4900132907,2021,WR,WA,PR,20210220,20210220,20210220,2848,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
56,400,4900132908,2021,WR,WA,PR,20210220,20210220,20210220,2852,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
57,400,4900132909,2021,WR,WA,PR,20210220,20210220,20210220,2852,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
58,400,4900132910,2021,WR,WA,PR,20210220,20210220,20210220,2858,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
59,400,4900132911,2021,WR,WA,PR,20210220,20210220,20210220,2859,0,USRINTERFAZ, , , ,0, , , ,CRPCLNT400, ,COGI, , ,0, , , , , , 
